# Satellite parameters in the following order from left to right:
# Satellite ID, components of initial position (X, Y, Z) in meters, components of initial velocity (U, V, W) in meters per second
0001,-1.66255336763374e+06,-6.21658975406956e+06,-2.41583145332890e+06, 3.90400263110352e+03,-3.24806555199713e+03, 5.67194171177102e+03
0002,-2.22076401081456e+06,-2.22108307379016e+06,-6.11323886823642e+06, 8.40215863641528e+02,-7.20368313203179e+03, 2.30853393841620e+03
0003,-1.03957582270784e+06,-3.60143189631586e-10, 6.79146894028142e+06, 7.53028849687317e+03, 2.99999999999994e+00, 1.15525642325041e+03
0004, 6.79110225757073e+06, 4.75378788421192e+05, 9.50757576842384e+05, 1.18130306168964e+03,-3.36221359242321e+03,-6.72492718484640e+03
0005, 3.43843560457513e+05,-6.21971840241805e+05, 6.83313300333278e+06,-7.60457137143781e+03,-3.30516596873392e+01, 3.81092886452372e+02
0006, 2.74396733113288e+06,-1.58089064708969e+06,-6.09496891647727e+06, 7.20843728226558e+02, 7.41361696285720e+03,-1.59793490657942e+03
0007,-6.31741551900740e+06, 3.42841594766128e+05, 2.68561624272210e+06,-3.55536957234866e+02,-7.60233850999762e+03, 1.51143426352946e+02
0008,-6.16561054976380e+06, 1.53268187962134e+06, 2.62108195810841e+06,-1.56883376889159e+03,-7.41929789964146e+03, 6.66931823494852e+02
0009,-6.53473740630982e+06, 1.62625316408915e+06, 1.37365715550440e+06,-1.76960044631078e+03,-7.39469811696995e+03, 3.71985003270595e+02
0010,-6.86492151110141e+06, 6.23555058304786e+04, 1.24711011660957e+05, 1.49364692880946e+02, 3.40696535768750e+03, 6.81393071537499e+03
0011,-6.66938187437581e+06, 1.65949783793332e+06, 0.00000000000000e+00,-1.84507063388882e+03,-7.38558968532738e+03, 0.00000000000000e+00
0012,-6.53473740630982e+06, 1.62625316408915e+06,-1.37365715550440e+06,-1.76960044631078e+03,-7.39469811696995e+03,-3.71985003270595e+02
